model;n_padded;k;style;replication;mrr;hit;coverage
1;24;5;lstm;1;0.16687198439585252;0.2072682476131814;0.19394171779141103
1;24;5;lstm;2;0.17423262498716757;0.21096396673852788;0.20889570552147238
1;24;5;lstm;3;0.17478698285596958;0.2152756390514321;0.19455521472392637
1;24;5;lstm;4;0.17639359408684932;0.21465968586387435;0.21226993865030674
1;24;5;lstm;5;0.17097833897957088;0.21034801355097013;0.20421779141104293
1;24;5;lstm;6;0.17896006570167328;0.22051124114567294;0.19861963190184048
1;24;5;lstm;7;0.17089621188789653;0.21589159223898985;0.20069018404907976
1;24;5;lstm;8;0.17613694692536697;0.21650754542654757;0.19677914110429448
1;24;5;lstm;9;0.16407453033569436;0.20973206036341238;0.21503067484662577
1;24;5;lstm;10;0.17043937994045782;0.2048044348629504;0.21871165644171778
2;24;5;lstm;1;0.18063853813776823;0.2220511241145673;0.2670245398773006
2;24;5;lstm;2;0.18525818704445152;0.23159839852171235;0.27515337423312886
2;24;5;lstm;3;0.18675187352427883;0.22389898367724054;0.268021472392638
2;24;5;lstm;4;0.18621291448516583;0.23283030489682785;0.26633435582822085
2;24;5;lstm;5;0.18419566779591415;0.22821065599014476;0.2721625766871166
2;24;5;lstm;6;0.1855507648085412;0.2288266091777025;0.2712423312883436
2;24;5;lstm;7;0.1625192485371111;0.2004927625500462;0.27338957055214724
2;24;5;lstm;8;0.17722513089005237;0.21927933477055744;0.27392638036809813
2;24;5;lstm;9;0.1842059336823736;0.22112719433323066;0.27469325153374236
2;24;5;lstm;10;0.1823888717790782;0.225130890052356;0.2772239263803681
3;24;5;lstm;1;0.17619854224412287;0.22821065599014476;0.22415644171779142
3;24;5;lstm;2;0.17861615850528695;0.2229750538959039;0.22875766871165645
3;24;5;lstm;3;0.18627964274715125;0.2288266091777025;0.21687116564417178
3;24;5;lstm;4;0.17870341854019098;0.2152756390514321;0.21679447852760736
3;24;5;lstm;5;0.1815624679191049;0.21681552202032645;0.22507668711656442
3;24;5;lstm;6;0.18753208089518542;0.2343701878657222;0.2191717791411043
3;24;5;lstm;7;0.18506313520172477;0.22667077302125038;0.23144171779141104
