model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;10;5;lstm;1;0.023936170212765968;0.05950015644555695;0.062322695035460986;0.09574468085106383;0.057247449178284913
1;10;5;lstm;2;0.020744680851063842;0.060083474879313425;0.05301418439716312;0.08776595744680851;0.05958407975699042
1;10;5;lstm;3;0.026595744680851064;0.06935361910721735;0.06294326241134751;0.10638297872340426;0.05896097826933562
1;10;5;lstm;4;0.022340425531914898;0.05752167888431968;0.05846631205673758;0.09574468085106383;0.05491081859957941
1;10;5;lstm;5;0.028191489361702116;0.07157905715477682;0.06214539007092197;0.11436170212765957;0.053742503310226654
1;10;5;lstm;6;0.0276595744680851;0.06978384438881936;0.06759751773049644;0.10638297872340426;0.05296362645065815
1;10;5;lstm;7;0.024468085106382983;0.066130840634126;0.06520390070921986;0.11170212765957446;0.058182101409767116
1;10;5;lstm;8;0.024468085106382986;0.063436065915728;0.0589982269503546;0.10372340425531915;0.05584547083106161
1;10;5;lstm;9;0.025531914893617023;0.06968401722391084;0.057225177304964535;0.10372340425531915;0.05966196744294727
1;10;5;lstm;10;0.024468085106382983;0.06477814530067347;0.06298758865248226;0.10106382978723404;0.0535088402523561
2;10;5;lstm;1;0.018617021276595754;0.05294378389653734;0.04680851063829788;0.0797872340425532;0.05755899992211232
2;10;5;lstm;2;0.021276595744680864;0.06136893587222123;0.052304964539007084;0.09308510638297872;0.05639068463275956
2;10;5;lstm;3;0.02287234042553192;0.06879041510221111;0.05354609929078014;0.10106382978723404;0.058571539839551365
2;10;5;lstm;4;0.022340425531914905;0.062033829489242506;0.05443262411347517;0.09840425531914894;0.05615702157488901
2;10;5;lstm;5;0.02180851063829788;0.0713209219858156;0.058776595744680846;0.10106382978723404;0.05218474959108965
2;10;5;lstm;6;0.022872340425531924;0.06355079265748853;0.051196808510638285;0.09840425531914894;0.057948438351896565
2;10;5;lstm;7;0.02340425531914895;0.06983599290780143;0.052969858156028365;0.10106382978723404;0.054832930913622555
2;10;5;lstm;8;0.020744680851063842;0.05786790780141845;0.06281028368794327;0.09574468085106383;0.057091673806371215
2;10;5;lstm;9;0.021276595744680864;0.06519998957029621;0.05168439716312056;0.09840425531914894;0.056858010748500665
2;10;5;lstm;10;0.022872340425531924;0.06358208176887777;0.057845744680851054;0.10372340425531915;0.0519510865332191
3;10;5;lstm;1;0.02606382978723404;0.07308093450146017;0.0576241134751773;0.1196808510638298;0.05639068463275956
3;10;5;lstm;2;0.024468085106382986;0.07526595744680852;0.05797872340425531;0.10372340425531915;0.05639068463275956
3;10;5;lstm;3;0.020744680851063842;0.06470327492699207;0.05673758865248227;0.09840425531914894;0.054832930913622555
3;10;5;lstm;4;0.025;0.07292616514690983;0.05062056737588652;0.11170212765957446;0.055300257029363656
3;10;5;lstm;5;0.02553191489361702;0.07109146850229453;0.05957446808510638;0.10904255319148937;0.05545603240127736
3;10;5;lstm;6;0.02925531914893616;0.07523913820847487;0.06440602836879432;0.12234042553191489;0.051094321987693744
3;10;5;lstm;7;0.020744680851063842;0.05772189194826867;0.05279255319148936;0.09042553191489362;0.050938546615780046
3;10;5;lstm;8;0.02021276595744682;0.057832707551105554;0.051861702127659566;0.09308510638297872;0.05522236934340681
3;10;5;lstm;9;0.02553191489361702;0.07888171225937184;0.061347517730496445;0.11436170212765957;0.0535088402523561
3;10;5;lstm;10;0.022340425531914905;0.06766400709219858;0.04951241134751773;0.10106382978723404;0.05428771711192461
4;10;5;lstm;1;0.020744680851063842;0.06631205673758865;0.05336879432624114;0.09574468085106383;0.05436560479788145
4;10;5;lstm;2;0.02180851063829788;0.06686538977293045;0.06374113475177305;0.09840425531914894;0.05031544512812525
4;10;5;lstm;3;0.017021276595744688;0.0493572695035461;0.04791666666666666;0.07712765957446809;0.054443492483838306
4;10;5;lstm;4;0.024468085106382986;0.06983599290780142;0.06622340425531914;0.10904255319148937;0.058805202897421915
4;10;5;lstm;5;0.02021276595744682;0.05973873591989987;0.047606382978723404;0.09308510638297872;0.051795311161305396
4;10;5;lstm;6;0.02287234042553192;0.07113057989153108;0.0664450354609929;0.11170212765957446;0.054677155541708856
4;10;5;lstm;7;0.023404255319148942;0.06857586119554206;0.05567375886524822;0.10638297872340426;0.05327517719448555
4;10;5;lstm;8;0.02021276595744682;0.06298758865248227;0.04596631205673758;0.08776595744680851;0.051327985045564295
4;10;5;lstm;9;0.023404255319148942;0.06555851063829787;0.05970744680851064;0.10638297872340426;0.054209829425967755
4;10;5;lstm;10;0.023936170212765968;0.061011159783062166;0.05802304964539007;0.10638297872340426;0.051483760417478
5;10;5;lstm;1;0.01755319148936171;0.05749113475177306;0.04525709219858156;0.0851063829787234;0.04618739777241218
5;10;5;lstm;2;0.022340425531914898;0.06084298080934501;0.053014184397163114;0.09308510638297872;0.04953656826855674
5;10;5;lstm;3;0.022340425531914898;0.05861754276178556;0.058200354609929075;0.09840425531914894;0.047823039177506035
5;10;5;lstm;4;0.025000000000000005;0.05880118004648668;0.054432624113475166;0.09574468085106383;0.047199937689851236
5;10;5;lstm;5;0.02180851063829788;0.06453900709219859;0.05487588652482269;0.10106382978723404;0.051327985045564295
5;10;5;lstm;6;0.020744680851063842;0.05942454109303296;0.05221631205673759;0.09308510638297872;0.04984811901238414
5;10;5;lstm;7;0.024468085106382976;0.06883995619524405;0.04937943262411346;0.10638297872340426;0.0531972895085287
5;10;5;lstm;8;0.019148936170212776;0.05572125126646403;0.054476950354609935;0.09042553191489362;0.04774515149154918
5;10;5;lstm;9;0.0276595744680851;0.07299749687108886;0.07203014184397163;0.1196808510638298;0.044318093309447776
5;10;5;lstm;10;0.02712765957446808;0.08172976637463496;0.06648936170212764;0.11702127659574468;0.04953656826855674
6;10;5;lstm;1;0.02553191489361702;0.071573097324036;0.0663563829787234;0.11436170212765957;0.053742503310226654
6;10;5;lstm;2;0.0196808510638298;0.057832707551105554;0.0523049645390071;0.09308510638297872;0.05888309058337877
6;10;5;lstm;3;0.023404255319148942;0.07646276595744682;0.05115248226950354;0.10638297872340426;0.05452138016979516
6;10;5;lstm;4;0.022340425531914898;0.058839173967459316;0.05820035460992907;0.10106382978723404;0.05475504322766571
6;10;5;lstm;5;0.029255319148936164;0.08493745902616366;0.06201241134751772;0.125;0.0535088402523561
6;10;5;lstm;6;0.0196808510638298;0.057699728827701295;0.05345744680851065;0.09042553191489362;0.05568969545914791
6;10;5;lstm;7;0.02287234042553192;0.06256257822277847;0.05864361702127659;0.10372340425531915;0.05576758314510476
6;10;5;lstm;8;0.025000000000000005;0.07508474134334585;0.06839539007092198;0.11436170212765957;0.054443492483838306
6;10;5;lstm;9;0.023404255319148942;0.07354040020263425;0.04902482269503546;0.10904255319148937;0.05428771711192461
6;10;5;lstm;10;0.022872340425531924;0.06107764914476429;0.06183510638297871;0.10638297872340426;0.05280785107874445
7;10;5;lstm;1;0.02393617021276596;0.058031430657369334;0.06023936170212765;0.09308510638297872;0.05670223537658696
7;10;5;lstm;2;0.0276595744680851;0.06887515644555696;0.06498226950354609;0.11702127659574468;0.05755899992211232
7;10;5;lstm;3;0.027659574468085094;0.07213034149830146;0.06866134751773048;0.11702127659574468;0.053353064880442405
7;10;5;lstm;4;0.022340425531914898;0.056294326241134764;0.05403368794326241;0.09574468085106383;0.05249630033491705
7;10;5;lstm;5;0.025531914893617023;0.06848013141426784;0.06041666666666665;0.10106382978723404;0.050704883557909496
7;10;5;lstm;6;0.022340425531914898;0.06304942189641814;0.05656028368794326;0.09574468085106383;0.054443492483838306
7;10;5;lstm;7;0.02393617021276596;0.06654206895524169;0.06272163120567377;0.10638297872340426;0.05522236934340681
