model;n_padded;k;style;replication;precision;recall;mrr;hit;coverage
1;32;5;lstm;1;0.019642857142857153;0.055040922619047625;0.04680059523809523;0.08705357142857142;0.06316691331100553
1;32;5;lstm;2;0.01607142857142858;0.042633928571428566;0.04330357142857143;0.07142857142857142;0.05997351818677467
1;32;5;lstm;3;0.01830357142857144;0.05329241071428571;0.04620535714285714;0.08258928571428571;0.057948438351896565
1;32;5;lstm;4;0.018303571428571436;0.050855654761904755;0.04188988095238095;0.08035714285714286;0.06269958719526443
1;32;5;lstm;5;0.015625000000000007;0.040290178571428574;0.04010416666666666;0.06919642857142858;0.06410156554248773
2;32;5;lstm;1;0.015625000000000007;0.04782366071428572;0.03839285714285714;0.06696428571428571;0.0700989173611652
2;32;5;lstm;2;0.015178571428571435;0.04681919642857143;0.04136904761904762;0.07142857142857142;0.0672949606667186
2;32;5;lstm;3;0.017410714285714297;0.052734375;0.04348958333333334;0.08258928571428571;0.06815172521224394
2;32;5;lstm;4;0.018303571428571436;0.0484561011904762;0.0433407738095238;0.08035714285714286;0.07033258041903576
2;32;5;lstm;5;0.017410714285714297;0.04823554421768707;0.04564732142857142;0.078125;0.0713451203364748
3;32;5;lstm;1;0.018303571428571436;0.05431813350340136;0.05093005952380952;0.08928571428571429;0.056624347690630114
3;32;5;lstm;2;0.021428571428571432;0.06412096088435375;0.046874999999999986;0.09375;0.05678012306254381
3;32;5;lstm;3;0.017857142857142867;0.050223214285714295;0.04252232142857142;0.07589285714285714;0.06153127190591168
3;32;5;lstm;4;0.016517857142857154;0.04847470238095238;0.0425967261904762;0.078125;0.05919464132720617
3;32;5;lstm;5;0.018750000000000006;0.05037468112244898;0.04356398809523809;0.08035714285714286;0.05966196744294727
4;32;5;lstm;1;0.01785714285714287;0.055078125;0.05026041666666666;0.08258928571428571;0.05623490926084586
4;32;5;lstm;2;0.017857142857142867;0.051171875;0.04709821428571428;0.08258928571428571;0.057247449178284913
4;32;5;lstm;3;0.01651785714285715;0.04696800595238095;0.032775297619047614;0.07589285714285714;0.05779266297998287
4;32;5;lstm;4;0.017410714285714297;0.05524553571428571;0.03802083333333333;0.07589285714285714;0.05888309058337877
4;32;5;lstm;5;0.017410714285714297;0.050932716836734705;0.04728422619047618;0.07589285714285714;0.05802632603785342
5;32;5;lstm;1;0.016964285714285727;0.05186011904761905;0.040662202380952375;0.07589285714285714;0.05740322455019861
5;32;5;lstm;2;0.018303571428571436;0.054092261904761914;0.04646577380952381;0.08705357142857142;0.05864942752550822
5;32;5;lstm;3;0.020982142857142866;0.05345982142857142;0.05066964285714286;0.09375;0.060596619674429475
5;32;5;lstm;4;0.02053571428571429;0.05508343962585034;0.04884672619047619;0.09151785714285714;0.05740322455019861
5;32;5;lstm;5;0.01964285714285715;0.05872395833333333;0.05442708333333333;0.08928571428571429;0.05701378612041436
6;32;5;lstm;1;0.01875000000000001;0.054055059523809526;0.043712797619047616;0.08035714285714286;0.050938546615780046
6;32;5;lstm;2;0.017857142857142867;0.05403911564625851;0.04427083333333333;0.08035714285714286;0.05561180777319106
6;32;5;lstm;3;0.01964285714285715;0.055450148809523814;0.046614583333333334;0.09151785714285714;0.0524184126489602
6;32;5;lstm;4;0.018303571428571436;0.048660714285714286;0.04404761904761905;0.08035714285714286;0.05600124620297531
6;32;5;lstm;5;0.01607142857142858;0.048474702380952375;0.03887648809523809;0.07366071428571429;0.05491081859957941
7;32;5;lstm;1;0.020535714285714293;0.05233218287314926;0.05230654761904762;0.08482142857142858;0.060596619674429475
7;32;5;lstm;2;0.021428571428571432;0.06273853291316527;0.05048363095238094;0.09598214285714286;0.05896097826933562
7;32;5;lstm;3;0.02098214285714286;0.05471813725490197;0.049962797619047615;0.08928571428571429;0.057948438351896565
7;32;5;lstm;4;0.022767857142857142;0.06604454281712686;0.05918898809523808;0.10491071428571429;0.061920710335695926
7;32;5;lstm;5;0.025892857142857134;0.07503923444377751;0.05301339285714285;0.11383928571428571;0.05678012306254381
8;32;5;lstm;1;0.020982142857142862;0.05198641956782713;0.04627976190476189;0.08928571428571429;0.06340057636887608
8;32;5;lstm;2;0.01919642857142858;0.05300948504401761;0.04709821428571428;0.08035714285714286;0.06262169950930759
8;32;5;lstm;3;0.02232142857142857;0.061875218837535016;0.052641369047619034;0.10044642857142858;0.05872731521146507
8;32;5;lstm;4;0.02008928571428572;0.05870207457983194;0.052752976190476183;0.09375;0.061063945790170576
8;32;5;lstm;5;0.021875000000000002;0.06360184698879552;0.05215773809523809;0.09151785714285714;0.06347846405483293
