model;n_padded;k;style;replication;mrr;hit;coverage
last-k;24;5;last-k;1;0.0422905982905983;0.09128205128205129;0.21809815950920244
last-k;24;5;last-k;2;0.0419906407487401;0.0939524838012959;0.21180981595092024
last-k;24;5;last-k;3;0.040495587236931446;0.09164969450101833;0.2102760736196319
last-k;24;5;last-k;4;0.04894806048652207;0.10157790927021697;0.2219325153374233
last-k;24;5;last-k;5;0.03633530183727034;0.08366141732283465;0.22484662576687117
last-k;24;5;last-k;6;0.05107095046854086;0.09738955823293173;0.2204754601226994
last-k;24;5;last-k;7;0.04311774461028193;0.09950248756218906;0.22369631901840492
last-k;24;5;last-k;8;0.03739965095986038;0.09109947643979058;0.2160276073619632
last-k;24;5;last-k;9;0.030448065173116077;0.07331975560081466;0.2204754601226994
last-k;24;5;last-k;10;0.03424725822532402;0.07776669990029911;0.22170245398773006
1;24;5;lstm;1;0.17217431475207887;0.21465968586387435;0.2205521472392638
1;24;5;lstm;2;0.17248229134585766;0.21127194333230676;0.2067484662576687
1;24;5;lstm;3;0.18903090031824246;0.22543886664613488;0.20881901840490796
1;24;5;lstm;4;0.16999281387947843;0.21558361564521097;0.22461656441717792
1;24;5;lstm;5;0.17390924956369985;0.21804742839544194;0.21273006134969324
1;24;5;lstm;6;0.17035211990555377;0.20757622420696026;0.21188650306748466
1;24;5;lstm;7;0.17560312082948362;0.22143517092700954;0.1937883435582822
1;24;5;lstm;8;0.17576737501283232;0.2152756390514321;0.20391104294478526
1;24;5;lstm;9;0.1803459603736783;0.2186633815829997;0.20260736196319018
1;24;5;lstm;10;0.17687095780720674;0.21712349861410532;0.2155674846625767
2;24;5;lstm;1;0.18149573965711943;0.22266707730212504;0.27085889570552146
2;24;5;lstm;2;0.17974027307257986;0.227594702802587;0.2678680981595092
2;24;5;lstm;3;0.17770249461040982;0.22020326455189407;0.27062883435582824
2;24;5;lstm;4;0.17429422030592337;0.2186633815829997;0.2735429447852761
2;24;5;lstm;5;0.17597269274201843;0.22112719433323066;0.27476993865030674
2;24;5;lstm;6;0.18170105738630535;0.22821065599014476;0.27292944785276074
2;24;5;lstm;7;0.18069500051329435;0.22574684323991376;0.2764570552147239
2;24;5;lstm;8;0.18454470793553032;0.2245149368647983;0.27615030674846625
2;24;5;lstm;9;0.17705574376347408;0.22112719433323066;0.2707822085889571
2;24;5;lstm;10;0.1811415665742737;0.22482291345857716;0.26809815950920246
3;24;5;lstm;1;0.18705985011805776;0.22697874961502926;0.24026073619631902
3;24;5;lstm;2;0.18277897546453134;0.23005851555281798;0.24087423312883435
3;24;5;lstm;3;0.1891181603531466;0.23159839852171235;0.2348159509202454
3;24;5;lstm;4;0.1852684529309106;0.23652602402217432;0.2191717791411043
3;24;5;lstm;5;0.1928241453649524;0.23621804742839544;0.23297546012269937
3;24;5;lstm;6;0.18273277897546455;0.2229750538959039;0.2411042944785276
3;24;5;lstm;7;0.1778924135099066;0.22174314752078841;0.23190184049079754
3;24;5;lstm;8;0.18801457755877232;0.23190637511549123;0.2282208588957055
3;24;5;lstm;9;0.18498100811005044;0.23375423467816445;0.22170245398773006
3;24;5;lstm;10;0.19053998562775915;0.2334462580843856;0.2263036809815951
4;24;5;lstm;1;0.17477671696951028;0.21681552202032645;0.2205521472392638
4;24;5;lstm;2;0.1895801252438149;0.2297505389590391;0.224079754601227
4;24;5;lstm;3;0.18134688430345983;0.2232830304896828;0.22760736196319017
4;24;5;lstm;4;0.17929883995483015;0.22389898367724054;0.2125766871165644
4;24;5;lstm;5;0.1833641309927112;0.22728672620880813;0.21809815950920244
4;24;5;lstm;6;0.1875269479519556;0.2309824453341546;0.2146472392638037
4;24;5;lstm;7;0.18775279745406015;0.23067446874037573;0.20375766871165643
4;24;5;lstm;8;0.18242480238168568;0.22543886664613488;0.2
4;24;5;lstm;9;0.17582897033158812;0.21773945180166307;0.2214723926380368
4;24;5;lstm;10;0.19096601991581993;0.23498614105327995;0.22653374233128834
5;24;5;lstm;1;0.18293809670465044;0.22482291345857716;0.2156441717791411
5;24;5;lstm;2;0.1865773534544709;0.23467816445950107;0.22599693251533742
5;24;5;lstm;3;0.1845960373678268;0.22605481983369263;0.21802147239263803
5;24;5;lstm;4;0.1823221435170927;0.22482291345857716;0.21441717791411044
5;24;5;lstm;5;0.1829483625911098;0.2288266091777025;0.20552147239263804
5;24;5;lstm;6;0.18219895287958116;0.2297505389590391;0.22392638036809817
5;24;5;lstm;7;0.1811313006878144;0.2242069602710194;0.22599693251533742
5;24;5;lstm;8;0.17811313006878146;0.2186633815829997;0.22338957055214723
5;24;5;lstm;9;0.1837696335078534;0.227594702802587;0.22653374233128834
5;24;5;lstm;10;0.1831177497176882;0.22821065599014476;0.2165644171779141
6;24;5;lstm;1;0.17891900215583614;0.22143517092700954;0.18105828220858897
6;24;5;lstm;2;0.18385689354275753;0.2297505389590391;0.20874233128834355
6;24;5;lstm;3;0.17679396365876193;0.2186633815829997;0.18964723926380367
6;24;5;lstm;4;0.1941484447182015;0.23067446874037573;0.20498466257668713
6;24;5;lstm;5;0.18335386510625204;0.2208192177394518;0.19409509202453987
6;24;5;lstm;6;0.18509393286110265;0.225130890052356;0.19831288343558282
6;24;5;lstm;7;0.19217226157478712;0.2322143517092701;0.19877300613496932
6;24;5;lstm;8;0.19051432091161086;0.23498614105327995;0.19769938650306748
6;24;5;lstm;9;0.1822194846524998;0.22574684323991376;0.2053680981595092
6;24;5;lstm;10;0.1806796016836054;0.22112719433323066;0.19156441717791411
7;24;5;lstm;1;0.1939893234780825;0.24422543886664613;0.2057515337423313
7;24;5;lstm;2;0.1789497998152141;0.227594702802587;0.21334355828220858
7;24;5;lstm;3;0.17966841186736487;0.2245149368647983;0.2141871165644172
7;24;5;lstm;4;0.19309105841289406;0.23744995380351094;0.21733128834355828
7;24;5;lstm;5;0.19066317626527066;0.23929781336618416;0.21234662576687116
7;24;5;lstm;6;0.17937583410327484;0.23129042192793348;0.21970858895705522
7;24;5;lstm;7;0.18339492865208917;0.22574684323991376;0.21495398773006136
7;24;5;lstm;8;0.18883584847551593;0.2334462580843856;0.21004601226993866
7;24;5;lstm;9;0.1963042808746537;0.24484139205420388;0.20659509202453988
7;24;5;lstm;10;0.1887383225541526;0.23406221127194332;0.2196319018404908
8;24;5;lstm;1;0.18258392362180467;0.23498614105327995;0.21434049079754602
8;24;5;lstm;2;0.19117133764500577;0.23960578995996304;0.21480061349693252
8;24;5;lstm;3;0.1897443794271638;0.24052971974129966;0.21717791411042944
8;24;5;lstm;4;0.19363001745200714;0.2414536495226363;0.21871165644171778
8;24;5;lstm;5;0.17951442357047528;0.2297505389590391;0.2464723926380368
8;24;5;lstm;6;0.18938507340108823;0.23498614105327995;0.2223926380368098
8;24;5;lstm;7;0.1997279540088289;0.25685247921157994;0.22960122699386504
8;24;5;lstm;8;0.18642336515758148;0.23591007083461657;0.22929447852760737
8;24;5;lstm;9;0.180890052356021;0.22944256236526023;0.21894171779141106
8;24;5;lstm;10;0.18413407247715857;0.23252232830304898;0.22346625766871164
last-k;32;5;last-k;1;0.037031653746770025;0.08624031007751938;0.22837423312883437
last-k;32;5;last-k;2;0.04262323336780422;0.09720785935884178;0.21855828220858894
last-k;32;5;last-k;3;0.04517117117117119;0.09297297297297297;0.20506134969325154
last-k;32;5;last-k;4;0.05519677093844607;0.10797174571140263;0.2209355828220859
last-k;32;5;last-k;5;0.041993637327677635;0.09013785790031813;0.20782208588957055
last-k;32;5;last-k;6;0.03997657295850067;0.09136546184738956;0.22338957055214723
last-k;32;5;last-k;7;0.04131907308377898;0.09090909090909091;0.21357361963190183
last-k;32;5;last-k;8;0.04433266264252183;0.09356136820925554;0.22223926380368098
