t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
211149.0;2016-07-01;4;100;2;7;5;3;3;1
211150.0;2016-07-01;4;100;2;7;5;4;3;1
211151.0;2016-07-01;4;100;2;7;5;5;1;1
211175.0;2016-07-01;9;100;1;7;5;11;3;1
211220.0;2016-07-01;4;100;3;7;5;16;3;1
211221.0;2016-07-01;4;100;2;7;5;17;3;1
211227.0;2016-07-01;4;100;2;7;5;17;3;1
211228.0;2016-07-01;4;100;3;7;5;16;3;1
211232.0;2016-07-01;4;100;3;7;5;16;3;1
211233.0;2016-07-01;4;100;2;7;5;18;3;1
211236.0;2016-07-01;4;100;2;7;5;18;3;1
211237.0;2016-07-01;4;100;3;7;5;16;3;1
211240.0;2016-07-01;4;100;3;7;5;16;3;1
211241.0;2016-07-01;4;100;2;7;5;18;3;1
211245.0;2016-07-01;4;100;2;7;5;18;3;1
211246.0;2016-07-01;4;100;3;7;5;16;3;1
211247.0;2016-07-01;4;100;3;7;5;16;3;1
211248.0;2016-07-01;4;100;2;7;5;18;3;1
211342.0;2016-07-01;20;100;1;7;5;21;1;1
211425.0;2016-07-01;28;100;2;7;5;31;3;1
211426.0;2016-07-01;28;100;1;7;5;45;3;1
211427.0;2016-07-01;28;100;1;7;5;46;3;1
211428.0;2016-07-01;28;100;1;7;5;47;3;1
211508.0;2016-07-01;4;100;1;7;5;56;1;1
211509.0;2016-07-01;4;100;1;7;5;57;1;1
211510.0;2016-07-01;4;100;1;7;5;58;1;1
211620.0;2016-07-01;47;100;5;7;5;67;7;1
211622.0;2016-07-01;47;100;2;7;5;1;1;1
211623.0;2016-07-01;47;100;2;7;5;1;1;1
211625.0;2016-07-01;48;100;2;7;5;68;4;1
211624.0;2016-07-01;47;100;2;7;5;1;1;1
211627.0;2016-07-01;47;100;2;7;5;1;1;1
211629.0;2016-07-01;48;100;2;7;5;69;4;1
211635.0;2016-07-01;48;100;3;7;5;71;4;1
211636.0;2016-07-01;48;100;1;7;5;72;4;1
211637.0;2016-07-01;48;100;1;7;5;73;4;1
211645.0;2016-07-01;9;100;1;7;5;74;10;1
211646.0;2016-07-01;9;100;1;7;5;11;3;1
211647.0;2016-07-01;9;100;1;7;5;75;3;1
211925.0;2016-07-02;4;99;1;7;6;56;1;1
211926.0;2016-07-02;4;99;1;7;6;57;1;1
211927.0;2016-07-02;4;99;1;7;6;76;1;1
211928.0;2016-07-02;4;99;1;7;6;20;1;1
211929.0;2016-07-02;4;99;1;7;6;111;1;1
211930.0;2016-07-02;4;99;1;7;6;112;2;1
212063.0;2016-07-02;85;99;5;7;6;125;8;1
212077.0;2016-07-03;89;99;6;7;7;128;6;1
212184.0;2016-07-03;100;99;3;7;7;131;3;2
212197.0;2016-07-03;102;99;2;7;7;100;10;1
212198.0;2016-07-03;103;99;2;7;7;97;3;1
212362.0;2016-07-04;20;99;1;7;1;21;1;1
212427.0;2016-07-04;124;99;3;7;1;148;11;1
212428.0;2016-07-04;124;99;2;7;1;149;11;1
212452.0;2016-07-04;128;99;1;7;1;53;1;1
212453.0;2016-07-04;128;99;1;7;1;152;2;1
212749.0;2016-07-05;150;99;2;7;2;31;3;1
212754.0;2016-07-05;151;99;1;7;2;191;1;1
213038.0;2016-07-09;169;98;3;7;6;139;1;1
213053.0;2016-07-09;170;98;6;7;6;128;6;1
213102.0;2016-07-09;177;98;3;7;6;216;9;1
213113.0;2016-07-09;178;98;1;7;6;44;1;1
213114.0;2016-07-09;178;98;1;7;6;60;1;1
213129.0;2016-07-09;20;98;1;7;6;20;1;1
213255.0;2016-07-10;100;98;1;7;7;224;3;2
213256.0;2016-07-10;100;98;2;7;7;131;3;2
213257.0;2016-07-10;100;98;2;7;7;47;3;2
213297.0;2016-07-10;197;98;1;7;7;230;3;1
213317.0;2016-07-11;201;98;2;7;1;234;9;1
213343.0;2016-07-11;20;98;2;7;1;1;1;1
213363.0;2016-07-11;197;98;14;7;1;211;6;1
213569.0;2016-07-11;100;98;5;7;1;132;3;2
213856.0;2016-07-12;20;98;7;7;2;280;7;1
213939.0;2016-07-13;252;98;1;7;3;282;10;1
213983.0;2016-07-13;20;98;1;7;3;34;1;1
213985.0;2016-07-13;20;98;1;7;3;34;1;1
213986.0;2016-07-13;20;98;1;7;3;34;1;1
214071.0;2016-07-13;255;98;1;7;3;219;2;1
214072.0;2016-07-13;255;98;1;7;3;288;2;1
214092.0;2016-07-13;258;98;2;7;3;290;1;1
214093.0;2016-07-13;258;98;7;7;3;291;1;1
214094.0;2016-07-13;258;98;2;7;3;250;1;1
214095.0;2016-07-13;258;98;3;7;3;292;1;1
214096.0;2016-07-13;258;98;3;7;3;293;1;1
214097.0;2016-07-13;4;98;2;7;3;294;1;1
214098.0;2016-07-13;4;98;2;7;3;295;1;1
214120.0;2016-07-13;260;98;3;7;3;298;13;1
214121.0;2016-07-13;260;98;1;7;3;282;10;1
214122.0;2016-07-13;260;98;1;7;3;299;10;1
214123.0;2016-07-13;260;98;3;7;3;300;10;1
214124.0;2016-07-13;260;98;1;7;3;196;10;1
214125.0;2016-07-13;260;98;4;7;3;301;10;1
214358.0;2016-07-14;274;98;1;7;4;221;1;1
214520.0;2016-07-14;20;98;1;7;4;34;1;1
214536.0;2016-07-14;281;98;2;7;4;323;10;1
214550.0;2016-07-14;47;98;2;7;4;1;1;1
214554.0;2016-07-14;47;98;2;7;4;1;1;1
214770.0;2016-07-14;285;98;2;7;4;328;1;1
214771.0;2016-07-14;285;98;2;7;4;329;1;1
214772.0;2016-07-14;285;98;1;7;4;20;1;1
214773.0;2016-07-14;285;98;1;7;4;299;10;1
214800.0;2016-07-14;287;98;1;7;4;331;2;1
214801.0;2016-07-14;287;98;1;7;4;60;1;1
214862.0;2016-07-15;291;98;1;7;5;232;3;1
214863.0;2016-07-15;291;98;1;7;5;29;3;1
214867.0;2016-07-15;292;98;2;7;5;1;1;1
