model,n_time,emb_unit,rnn_unit,drop_rate,learning,acc,loss,hit,map,ndcg,repl,n_epoch,n_train_c,n_val_c
1,8,256,400,0.8,0.0001,0.1365284770727157,1.45750892162323,0.2752408881441139,0.1651747981396388,0.2049879479488793,1,56,19056,4774
1,8,256,400,0.8,0.0001,0.1359763443470001,1.46820068359375,0.2684100418410042,0.1644250460321116,0.2033595795450692,2,56,19050,4780
1,8,256,400,0.8,0.0001,0.1359356790781021,1.52164888381958,0.2716535433070866,0.1631125160763464,0.2044796012847239,3,57,19004,4826
1,8,256,400,0.8,0.0001,0.1368930637836456,1.4976762533187866,0.2771567179919848,0.1619329487281182,0.2033655764705078,4,56,19089,4741
1,8,256,400,0.8,0.0001,0.1363098174333572,1.5002241134643557,0.2731646099142439,0.1633929086257562,0.2058292241130461,5,60,19049,4781
1,8,256,600,0.8,0.0001,0.1376662105321884,1.461710810661316,0.2679095098449937,0.1653566115209244,0.2046384816822362,1,48,19056,4774
1,8,256,600,0.8,0.0001,0.13724385201931,1.4715821743011477,0.2638075313807531,0.1632075811261207,0.2010673409730963,2,46,19050,4780
1,8,256,600,0.8,0.0001,0.1350422650575637,1.5245354175567627,0.2689598010774969,0.1607235375423269,0.201727323902263,3,47,19004,4826
1,8,256,600,0.8,0.0001,0.1379455476999282,1.5007818937301636,0.2695633832524783,0.1623166297555055,0.2014672706710948,4,47,19089,4741
1,8,256,600,0.8,0.0001,0.1385386884212494,1.4973857402801514,0.2629157080108764,0.1613756887052629,0.2001758406502707,5,48,19049,4781
1,8,256,800,0.8,0.0001,0.1389219015836715,1.5041491985321045,0.2586605080831409,0.1597576471970832,0.1964752213272023,1,41,19067,4763
1,8,256,800,0.8,0.0001,0.1353155821561813,1.4842292070388794,0.2738046587658357,0.1642758252769834,0.2044518714625146,2,44,18936,4894
1,8,256,800,0.8,0.0001,0.1398119628429412,1.449054479598999,0.2718611052297269,0.1683470803240569,0.2063382671479074,3,41,19107,4723
1,8,256,800,0.8,0.0001,0.1348638087511062,1.5166118144989014,0.2601643143037708,0.1629285343201369,0.2003398109707089,4,42,19083,4747
1,8,256,800,0.8,0.0001,0.1420151591300964,1.4875661134719849,0.2743121193026675,0.1693777254290207,0.2093784503390164,5,43,19069,4761
1,8,256,1000,0.8,0.0001,0.1380829215049743,1.5052950382232666,0.2555112324165442,0.1601258484609104,0.1960601583615107,1,38,19067,4763
1,8,256,1000,0.8,0.0001,0.134902611374855,1.4863431453704834,0.2693093583980384,0.1618558326487083,0.2016828286007194,2,39,18936,4894
