model;n_padded;k;style;hit;recall;map;ndcg;replication
1;28;20;lstm;0.27342549923195086;0.27342549923195086;0.1617467263129688;0.20592264995684223;1
1;28;20;lstm;0.314873417721519;0.314873417721519;0.18593900133664065;0.23541289077641572;2
1;28;20;lstm;0.27447833065810595;0.27447833065810595;0.1677226425701422;0.20611425935503516;3
1;28;20;lstm;0.3180473372781065;0.3180473372781065;0.20287421908177544;0.24411557115123056;4
1;28;20;lstm;0.289193302891933;0.289193302891933;0.18711070249992595;0.22726302014899075;5
1;28;20;lstm;0.27596899224806204;0.27596899224806204;0.15955178804790013;0.20362035676339915;6
1;28;20;lstm;0.3104;0.3104;0.1841944170174511;0.23061141591031678;7
1;28;20;lstm;0.2772727272727273;0.2772727272727273;0.16861693682056755;0.20945858519339025;8
1;28;20;lstm;0.26777609682299547;0.26777609682299547;0.15095315411967872;0.19200086074704512;9
1;28;20;lstm;0.3019538188277087;0.3019538188277087;0.17531919468313129;0.22378152772204324;10
1;30;20;lstm;0.27732463295269166;0.27732463295269166;0.16614300422211067;0.20400995417087125;1
1;30;20;lstm;0.26405451448040884;0.26405451448040884;0.14445734779534444;0.18852627146939807;2
1;30;20;lstm;0.32122093023255816;0.32122093023255816;0.20385151629076678;0.2469109785013968;3
1;30;20;lstm;0.2621664050235479;0.2621664050235479;0.17028261571635603;0.2074460770201776;4
1;30;20;lstm;0.3076923076923077;0.3076923076923077;0.19447567423808343;0.23516411212231242;5
1;30;20;lstm;0.30413223140495865;0.30413223140495865;0.1687202746492591;0.2195711259515089;6
1;30;20;lstm;0.2786885245901639;0.2786885245901639;0.16790454788590747;0.20965190439462902;7
1;30;20;lstm;0.2807017543859649;0.2807017543859649;0.16615809950149352;0.21035017695404623;8
1;30;20;lstm;0.3008;0.3008;0.17797959406262812;0.22003963868638224;9
1;30;20;lstm;0.2831050228310502;0.2831050228310502;0.17732564012534183;0.22178948461066242;10
2;28;20;lstm;0.32370820668693007;0.32370820668693007;0.20058305056805295;0.2521823009956159;1
2;28;20;lstm;0.29685157421289354;0.29685157421289354;0.1688657955760085;0.21276219477169683;2
2;28;20;lstm;0.3099510603588907;0.3099510603588907;0.19247486388810334;0.23585043865164312;3
2;28;20;lstm;0.3285939968404423;0.3285939968404423;0.18944485786297596;0.2381677141295336;4
2;28;20;lstm;0.31259720062208396;0.31259720062208396;0.19887533466869634;0.24452087435850361;5
2;28;20;lstm;0.2884927066450567;0.2884927066450567;0.17409672052104483;0.21599495147464656;6
2;28;20;lstm;0.2823529411764706;0.2823529411764706;0.16808807115530616;0.21608883880721763;7
2;28;20;lstm;0.2946708463949843;0.2946708463949843;0.1616655856889341;0.21369743547966133;8
2;28;20;lstm;0.28821656050955413;0.28821656050955413;0.18751521832732024;0.22450741418332845;9
2;28;20;lstm;0.2934609250398724;0.2934609250398724;0.18373045919411485;0.22550220404123045;10
2;30;20;lstm;0.26676176890156916;0.26676176890156916;0.14911564934679858;0.1931369074783166;1
2;30;20;lstm;0.2818590704647676;0.2818590704647676;0.15759645544018064;0.20419043338694756;2
2;30;20;lstm;0.31968503937007875;0.31968503937007875;0.19588114949064225;0.24008290130844862;3
