model;n_padded;k;style;hit;recall;map;ndcg;replication
1;20;20;lstm;0.2133676092544987;0.16145878071502223;0.08394493754757365;0.13059435980762607;1
1;24;20;lstm;0.20822622107969152;0.15819950785420697;0.09718779170442364;0.141628232104748;1
1;28;20;lstm;0.2210796915167095;0.16397205433521933;0.09636299749993378;0.1445997281827445;1
1;32;20;lstm;0.19794344473007713;0.14423206997931412;0.09234774015870391;0.13266719544073344;1
2;20;20;lstm;0.2185089974293059;0.1517878150345145;0.08411114325332333;0.13143862594240782;1
2;24;20;lstm;0.2159383033419023;0.14825646494636954;0.08635955694590203;0.1332626390305902;1
2;28;20;lstm;0.21079691516709512;0.14914979324482178;0.0825025787845234;0.12875138563428307;1
2;32;20;lstm;0.2159383033419023;0.158197934453871;0.08606124615002662;0.13391886169648076;1
3;20;20;lstm;0.2236503856041131;0.16647033742694062;0.09267666892605211;0.13701795189090374;1
3;24;20;lstm;0.2185089974293059;0.1617071359065172;0.08982191296950105;0.13348608784361798;1
3;28;20;lstm;0.2159383033419023;0.16021119527938404;0.08818055750980928;0.13152604213046343;1
3;32;20;lstm;0.2236503856041131;0.16501857304001;0.08511335015275616;0.1316583337385054;1
4;20;20;lstm;0.2133676092544987;0.15875374244508486;0.09108384301335586;0.1375325080752649;1
4;24;20;lstm;0.2133676092544987;0.15734437341665783;0.08849096748703383;0.13307481903688834;1
4;28;20;lstm;0.2210796915167095;0.15850263812553037;0.09842389670098593;0.14470628019441514;1
4;32;20;lstm;0.23393316195372751;0.17293613101203187;0.0908798043636755;0.13842742722658424;1
last-random;NA;20;NA;0.15167095115681234;0.10215676876824539;0.07362122448375999;0.10190719434343841;NA
last-ordered;NA;20;NA;0.16966580976863754;0.11176320774486431;0.10367893780828431;0.13275177088332676;NA
popularity;NA;20;NA;0.05398457583547558;0.04464438731790917;0.0033740359897172236;0.013496143958868894;NA
