model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
1.0,lstm,256.0,1200.0,0.8,0.0001,1.0,0.1253761351108551
1.0,lstm,1024.0,600.0,0.8,0.0001,1.0,0.134603813290596
1.0,lstm,128.0,600.0,0.8,0.0001,1.0,0.02457372099161148
1.0,lstm,512.0,400.0,0.8,0.0001,1.0,0.13229689002037048
1.0,lstm,128.0,400.0,0.8,0.0001,1.0,0.021865596994757652
1.0,lstm,1024.0,800.0,0.8,0.0001,1.0,0.13430291414260864
1.0,lstm,512.0,1200.0,0.8,0.0001,1.0,0.12728184461593628
1.0,lstm,512.0,600.0,0.8,0.0001,1.0,0.13179539144039154
1.0,lstm,128.0,1000.0,0.8,0.0001,1.0,0.025376128032803535
1.0,lstm,128.0,800.0,0.8,0.0001,1.0,0.024874623864889145
1.0,lstm,256.0,1000.0,0.8,0.0001,1.0,0.03390170633792877
1.0,lstm,1024.0,400.0,0.8,0.0001,1.0,0.13450351357460022
1.0,lstm,256.0,800.0,0.8,0.0001,1.0,0.03570711985230446
1.0,lstm,1024.0,1200.0,0.8,0.0001,1.0,0.13009026646614075
1.0,lstm,512.0,800.0,0.8,0.0001,1.0,0.13199599087238312
1.0,lstm,512.0,1000.0,0.8,0.0001,1.0,0.12577733397483826
1.0,lstm,256.0,400.0,0.8,0.0001,1.0,0.025777332484722137
1.0,lstm,1024.0,1000.0,0.8,0.0001,1.0,0.13149447739124298
1.0,lstm,128.0,1200.0,0.8,0.0001,1.0,0.11825476586818695
1.0,lstm,256.0,600.0,0.8,0.0001,1.0,0.028485456481575966
2.0,lstm,256.0,1200.0,0.8,0.0001,1.0,0.13532651960849762
2.0,lstm,512.0,1200.0,0.8,0.0001,1.0,0.13645048439502716
2.0,lstm,128.0,1200.0,0.8,0.0001,1.0,0.1285826712846756
2.0,lstm,1024.0,600.0,0.8,0.0001,1.0,0.1444307118654251
2.0,lstm,256.0,800.0,0.8,0.0001,1.0,0.13712486624717712
2.0,lstm,256.0,1000.0,0.8,0.0001,1.0,0.1357761025428772
2.0,lstm,128.0,1000.0,0.8,0.0001,1.0,0.1304934173822403
2.0,lstm,512.0,400.0,0.8,0.0001,1.0,0.14600427448749542
2.0,lstm,128.0,600.0,0.8,0.0001,1.0,0.13341575860977173
2.0,lstm,512.0,800.0,0.8,0.0001,1.0,0.14162077009677887
2.0,lstm,1024.0,800.0,0.8,0.0001,1.0,0.14207036793231964
2.0,lstm,256.0,400.0,0.8,0.0001,1.0,0.1374620646238327
2.0,lstm,512.0,600.0,0.8,0.0001,1.0,0.14251995086669922
2.0,lstm,512.0,1000.0,0.8,0.0001,1.0,0.13600090146064758
2.0,lstm,256.0,600.0,0.8,0.0001,1.0,0.13903562724590302
2.0,lstm,1024.0,1000.0,0.8,0.0001,1.0,0.1427447497844696
2.0,lstm,1024.0,400.0,0.8,0.0001,1.0,0.14499269425868988
2.0,lstm,1024.0,1200.0,0.8,0.0001,1.0,0.13678768277168274
2.0,lstm,128.0,400.0,0.8,0.0001,1.0,0.13532651960849762
2.0,lstm,128.0,800.0,0.8,0.0001,1.0,0.1285826712846756
3.0,lstm,1024.0,800.0,0.8,0.0001,1.0,0.15248188376426697
3.0,lstm,256.0,400.0,0.8,0.0001,1.0,0.15356332063674927
3.0,lstm,512.0,800.0,0.8,0.0001,1.0,0.15248188376426697
3.0,lstm,256.0,600.0,0.8,0.0001,1.0,0.15021087229251862
3.0,lstm,256.0,1200.0,0.8,0.0001,1.0,0.1491294503211975
3.0,lstm,128.0,1000.0,0.8,0.0001,1.0,0.1443711519241333
3.0,lstm,1024.0,1200.0,0.8,0.0001,1.0,0.14945387840270996
3.0,lstm,512.0,1200.0,0.8,0.0001,1.0,0.15118417143821716
3.0,lstm,256.0,1000.0,0.8,0.0001,1.0,0.15031902492046356
3.0,lstm,1024.0,400.0,0.8,0.0001,1.0,0.15399588644504547
3.0,lstm,512.0,1000.0,0.8,0.0001,1.0,0.15140044689178467
3.0,lstm,512.0,600.0,0.8,0.0001,1.0,0.15291446447372437
3.0,lstm,128.0,1200.0,0.8,0.0001,1.0,0.14599329233169556
3.0,lstm,128.0,800.0,0.8,0.0001,1.0,0.14664214849472046
3.0,lstm,1024.0,600.0,0.8,0.0001,1.0,0.15367145836353302
3.0,lstm,256.0,800.0,0.8,0.0001,1.0,0.15248188376426697
3.0,lstm,128.0,600.0,0.8,0.0001,1.0,0.14664214849472046
3.0,lstm,512.0,400.0,0.8,0.0001,1.0,0.15453660488128662
3.0,lstm,128.0,400.0,0.8,0.0001,1.0,0.147615447640419
3.0,lstm,1024.0,1000.0,0.8,0.0001,1.0,0.15042716264724731
4.0,lstm,256.0,1200.0,0.8,0.0001,1.0,0.14428900182247162
4.0,lstm,128.0,600.0,0.8,0.0001,1.0,0.14679473638534546
4.0,lstm,128.0,800.0,0.8,0.0001,1.0,0.14376696944236755
4.0,lstm,1024.0,600.0,0.8,0.0001,1.0,0.1477343887090683
4.0,lstm,256.0,400.0,0.8,0.0001,1.0,0.15003132820129395
4.0,lstm,1024.0,1200.0,0.8,0.0001,1.0,0.14355815947055817
4.0,lstm,128.0,400.0,0.8,0.0001,1.0,0.14700354635715485
4.0,lstm,256.0,1000.0,0.8,0.0001,1.0,0.14501984417438507
4.0,lstm,128.0,1200.0,0.8,0.0001,1.0,0.13979953527450562
4.0,lstm,1024.0,800.0,0.8,0.0001,1.0,0.14731676876544952
4.0,lstm,256.0,600.0,0.8,0.0001,1.0,0.1491960734128952
4.0,lstm,512.0,400.0,0.8,0.0001,1.0,0.1490916609764099
4.0,lstm,256.0,800.0,0.8,0.0001,1.0,0.14710795879364014
4.0,lstm,1024.0,400.0,0.8,0.0001,1.0,0.14982250332832336
4.0,lstm,512.0,1000.0,0.8,0.0001,1.0,0.14585508406162262
4.0,lstm,512.0,1200.0,0.8,0.0001,1.0,0.14554186165332794
4.0,lstm,512.0,600.0,0.8,0.0001,1.0,0.1493004858493805
4.0,lstm,128.0,1000.0,0.8,0.0001,1.0,0.14272290468215942
4.0,lstm,512.0,800.0,0.8,0.0001,1.0,0.1476299911737442
4.0,lstm,1024.0,1000.0,0.8,0.0001,1.0,0.14658592641353607
