t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
436171.0;2017-04-01;1;100;4;4;6;1;1;1
436177.0;2017-04-01;2;100;2;4;6;2;2;1
436183.0;2017-04-01;3;100;5;4;6;3;3;1
436185.0;2017-04-01;3;100;11;4;6;4;3;1
436190.0;2017-04-01;3;100;5;4;6;5;3;1
436192.0;2017-04-01;4;100;5;4;6;6;2;1
436205.0;2017-04-01;5;100;5;4;6;7;4;1
436206.0;2017-04-01;5;100;2;4;6;8;4;1
436207.0;2017-04-01;5;100;6;4;6;9;4;1
436208.0;2017-04-01;6;100;2;4;6;10;1;1
436209.0;2017-04-01;6;100;2;4;6;11;2;1
436210.0;2017-04-01;6;100;2;4;6;12;2;1
436212.0;2017-04-01;6;100;2;4;6;13;5;1
436217.0;2017-04-01;7;100;49;4;6;14;6;2
436218.0;2017-04-01;7;100;1;4;6;15;7;2
436221.0;2017-04-01;8;100;5;4;6;16;8;1
436229.0;2017-04-01;9;100;3;4;6;17;2;1
436231.0;2017-04-01;10;100;35;4;6;18;9;1
436234.0;2017-04-01;10;100;41;4;6;19;9;1
436238.0;2017-04-01;11;100;50;4;6;20;10;1
436241.0;2017-04-01;12;100;5;4;6;21;3;1
436242.0;2017-04-01;12;100;5;4;6;22;3;1
436243.0;2017-04-01;13;100;7;4;6;23;5;1
436244.0;2017-04-01;12;100;11;4;6;24;3;1
436245.0;2017-04-01;12;100;8;4;6;25;3;1
436246.0;2017-04-01;14;100;6;4;6;26;2;1
436247.0;2017-04-01;14;100;7;4;6;27;2;1
436251.0;2017-04-01;15;100;5;4;6;28;3;1
436252.0;2017-04-01;15;100;5;4;6;29;3;1
436260.0;2017-04-01;16;100;5;4;6;30;3;1
436261.0;2017-04-01;16;100;1;4;6;31;5;1
436266.0;2017-04-01;17;100;5;4;6;29;3;1
436267.0;2017-04-01;17;100;5;4;6;3;3;1
436271.0;2017-04-01;18;100;4;4;6;32;2;1
436272.0;2017-04-01;18;100;6;4;6;33;2;1
436273.0;2017-04-01;18;100;2;4;6;13;5;1
436277.0;2017-04-01;19;100;62;4;6;34;6;1
436286.0;2017-04-01;12;100;4;4;6;1;1;1
436287.0;2017-04-01;12;100;4;4;6;13;5;1
436288.0;2017-04-01;12;100;1;4;6;35;11;1
436295.0;2017-04-01;20;100;50;4;6;20;10;1
436303.0;2017-04-01;21;100;28;4;6;36;6;1
436308.0;2017-04-01;22;100;8;4;6;37;6;1
436313.0;2017-04-01;21;100;1;4;6;38;5;1
436314.0;2017-04-01;21;100;1;4;6;39;5;1
436315.0;2017-04-01;21;100;2;4;6;13;5;1
436316.0;2017-04-01;21;100;3;4;6;40;5;1
436319.0;2017-04-01;23;100;4;4;6;41;4;1
436320.0;2017-04-01;24;100;6;4;6;42;2;1
436322.0;2017-04-01;24;100;1;4;6;43;5;1
436327.0;2017-04-01;25;100;4;4;6;44;3;1
436328.0;2017-04-01;12;100;9;4;6;45;6;1
436332.0;2017-04-01;26;100;4;4;6;46;4;1
436334.0;2017-04-01;19;100;6;4;6;47;2;1
436336.0;2017-04-01;19;100;6;4;6;48;2;1
436351.0;2017-04-01;27;100;5;4;6;49;3;1
436352.0;2017-04-01;27;100;5;4;6;50;3;1
436363.0;2017-04-01;29;100;5;4;6;53;5;1
436371.0;2017-04-01;30;100;1;4;6;54;11;1
436372.0;2017-04-01;30;100;1;4;6;55;11;1
436398.0;2017-04-01;31;100;3;4;6;56;8;1
436399.0;2017-04-01;31;100;3;4;6;57;11;1
436407.0;2017-04-01;32;100;11;4;6;58;3;1
436415.0;2017-04-01;33;100;3;4;6;59;2;1
436440.0;2017-04-01;35;100;6;4;6;61;2;1
436442.0;2017-04-01;35;100;2;4;6;62;1;1
436451.0;2017-04-01;37;100;6;4;6;64;2;1
436459.0;2017-04-01;38;100;6;4;6;65;2;1
436461.0;2017-04-01;38;100;3;4;6;33;2;1
436462.0;2017-04-01;38;100;2;4;6;62;1;1
436475.0;2017-04-01;39;100;6;4;6;66;7;1
436495.0;2017-04-01;41;100;5;4;6;68;3;1
436496.0;2017-04-01;41;100;5;4;6;69;3;1
436497.0;2017-04-01;41;100;5;4;6;70;3;1
436502.0;2017-04-01;42;100;6;4;6;71;10;1
436503.0;2017-04-01;42;100;5;4;6;72;11;1
436504.0;2017-04-01;43;100;3;4;6;67;2;1
436508.0;2017-04-01;44;100;4;4;6;1;1;1
436510.0;2017-04-01;45;100;2;4;6;62;1;1
436511.0;2017-04-01;45;100;4;4;6;73;3;1
436512.0;2017-04-01;45;100;5;4;6;74;3;1
436513.0;2017-04-01;46;100;6;4;6;75;7;1
436518.0;2017-04-01;47;100;15;4;6;76;3;1
436526.0;2017-04-01;48;100;3;4;6;33;2;1
436527.0;2017-04-01;48;100;3;4;6;77;3;1
436533.0;2017-04-01;49;100;16;4;6;66;7;1
436538.0;2017-04-01;49;100;16;4;6;66;7;1
436542.0;2017-04-01;50;100;1;4;6;78;13;1
436543.0;2017-04-01;50;100;1;4;6;79;13;1
436544.0;2017-04-01;51;100;5;4;6;80;3;1
436545.0;2017-04-01;51;100;1;4;6;81;11;1
436539.0;2017-04-01;49;100;16;4;6;66;7;1
436540.0;2017-04-01;21;100;5;4;6;3;3;1
436548.0;2017-04-01;49;100;16;4;6;66;7;1
436551.0;2017-04-01;52;100;7;4;6;82;5;1
436552.0;2017-04-01;53;100;5;4;6;83;3;1
436553.0;2017-04-01;54;100;2;4;6;13;5;1
436554.0;2017-04-01;54;100;1;4;6;31;5;1
436555.0;2017-04-01;54;100;2;4;6;84;5;1
436556.0;2017-04-01;54;100;2;4;6;85;5;1
436557.0;2017-04-01;54;100;4;4;6;86;2;1
436558.0;2017-04-01;54;100;4;4;6;87;2;1
436560.0;2017-04-01;55;100;5;4;6;88;2;1
