model;recall;precision;mrr;hit;coverage;n_padded;k;n_exp
model1;0.08949862468653921;0.03277591973244147;0.08283166109253064;0.1505016722408027;0.07351958294345676;10;5;1
model2;0.07904617490100173;0.02675585284280938;0.06220735785953178;0.12374581939799331;0.07191551931559952;10;5;1
model3;0.09150531364974993;0.031438127090301006;0.07447045707915272;0.14046822742474915;0.06362785723833712;10;5;1
model4;0.11128857018687527;0.03478260869565216;0.09030100334448159;0.16387959866220736;0.06603395268012298;10;5;1
model5;0.09768331439296805;0.032107023411371234;0.0910813823857302;0.14715719063545152;0.049859644432562494;10;5;1
model6;0.09763571604028495;0.03478260869565216;0.08974358974358974;0.14715719063545152;0.06817270418393263;10;5;1
model7;0.09148331403305612;0.036789297658862866;0.08651059085841693;0.15384615384615385;0.06362785723833712;10;5;1
model1;0.09322931428679403;0.030769230769230774;0.07441471571906352;0.13712374581939799;0.07726239807512365;10;5;2
model2;0.08900131637788233;0.028762541806020076;0.07246376811594202;0.13712374581939799;0.06670231252506349;10;5;2
model3;0.0823049524781286;0.028762541806020076;0.0769788182831661;0.13043478260869565;0.067370672370004;10;5;2
model4;0.10176361344379031;0.035451505016722396;0.09336677814938682;0.15384615384615385;0.0669696564630397;10;5;2
model5;0.09356376244732914;0.030769230769230778;0.08216276477146041;0.14046822742474915;0.0586819943857773;10;5;2
model6;0.07347183644162274;0.029431438127090304;0.06231884057971014;0.11705685618729098;0.07298489506750434;10;5;2
model7;0.10159355505707753;0.03277591973244147;0.09007803790412484;0.15719063545150502;0.067370672370004;10;5;2
model1;0.08852807717951416;0.032107023411371234;0.08110367892976589;0.13712374581939799;0.07445528672637348;10;5;3
model2;0.07714698713224874;0.026755852842809378;0.05730211817168339;0.12040133779264214;0.06750434433899212;10;5;3
model3;0.09702276352976427;0.032107023411371234;0.07068004459308806;0.1505016722408027;0.06202379361047988;10;5;3
model4;0.10067476738442102;0.0354515050167224;0.08567447045707914;0.1605351170568562;0.06670231252506349;10;5;3
model5;0.09008827289962147;0.029431438127090308;0.08372352285395764;0.13712374581939799;0.05614222697500334;10;5;3
model6;0.0855100806832568;0.03277591973244147;0.08283166109253064;0.14381270903010032;0.06964309584280176;10;5;3
model7;0.11257649253227735;0.03879598662207356;0.10005574136008917;0.17391304347826086;0.0672370004010159;10;5;3
model1;0.07968909007965752;0.030769230769230774;0.07814938684503901;0.13043478260869565;0.07686138216815934;10;5;4
model2;0.09451136556884532;0.03010033444816054;0.08026755852842807;0.13712374581939799;0.06790536024595642;10;5;4
model3;0.08682209463344322;0.030769230769230774;0.07987736900780376;0.13712374581939799;0.06349418526934902;10;5;4
model4;0.10229032205819237;0.035451505016722396;0.08344481605351169;0.16387959866220736;0.06483090495923005;10;5;4
model5;0.08294807010724478;0.028762541806020076;0.0660535117056856;0.12709030100334448;0.05520652319208662;10;5;4
model6;0.09273654986624773;0.03344481605351169;0.07831661092530658;0.13712374581939799;0.06630129661809918;10;5;4
model7;0.08553606182567126;0.030769230769230774;0.08021181716833892;0.13043478260869565;0.06376152920732522;10;5;4
model1;0.08679915024793435;0.031438127090301006;0.087123745819398;0.14046822742474915;0.0749899746023259;10;5;5
model2;0.089557402803534;0.029431438127090308;0.07040133779264213;0.13377926421404682;0.06803903221494452;10;5;5
model3;0.09052680309128357;0.030769230769230778;0.06856187290969898;0.13043478260869565;0.06456356102125384;10;5;5
model4;0.09724174744440035;0.031438127090301006;0.08121516164994426;0.14046822742474915;0.06656864055607539;10;5;5
model5;0.09339464882943145;0.031438127090301006;0.07603121516164993;0.14715719063545152;0.06028605801363454;10;5;5
model6;0.09172713187083122;0.03411371237458193;0.09180602006688963;0.14381270903010032;0.06857372009089693;10;5;5
model7;0.10622008794448;0.0334448160535117;0.08294314381270902;0.15719063545150502;0.067370672370004;10;5;5
model1;0.08520653995967188;0.029431438127090308;0.08394648829431436;0.13377926421404682;0.07779708595107605;10;5;6
model2;0.0783772785799315;0.026086956521739146;0.06739130434782609;0.12374581939799331;0.06817270418393263;10;5;6
model3;0.09763193696502466;0.030769230769230774;0.07369007803790409;0.14381270903010032;0.05975137013768213;10;5;6
model4;0.09610093910020218;0.0334448160535117;0.08411371237458193;0.14381270903010032;0.06870739205988505;10;5;6
model5;0.08311529418751233;0.02742474916387961;0.07480490523968784;0.12374581939799331;0.05948402619970592;10;5;6
model6;0.10312927676597536;0.036789297658862866;0.08450390189520622;0.16722408026755853;0.07258387916054003;10;5;6
model7;0.1118249289398884;0.03812709030100333;0.08673355629877368;0.1605351170568562;0.06656864055607539;10;5;6
model1;0.0983624457095349;0.03478260869565216;0.09035674470457078;0.15384615384615385;0.07712872610613554;10;5;7
model2;0.10491016598238412;0.03411371237458193;0.0825529542920847;0.1605351170568562;0.061756449672503676;10;5;7
model3;0.11443890180072935;0.03612040133779263;0.09136008918617614;0.16722408026755853;0.06683598449405159;10;5;7
model4;0.11201604217447991;0.03812709030100333;0.09464882943143811;0.16722408026755853;0.06777168827696832;10;5;7
model5;0.09622285926633753;0.032775919732441476;0.07469342251950947;0.15384615384615385;0.05587488303702714;10;5;7
model6;0.09510063137550243;0.0334448160535117;0.07435897435897434;0.1505016722408027;0.06790536024595642;10;5;7
model7;0.08372635716040285;0.030769230769230774;0.08110367892976587;0.13043478260869565;0.06790536024595642;10;5;7
model1;0.08215100015026323;0.031438127090301006;0.0749721293199554;0.13377926421404682;0.07873278973399278;10;5;8
model2;0.08339400098795827;0.028093645484949845;0.06872909698996654;0.13043478260869565;0.06643496858708729;10;5;8
model3;0.07927008511017357;0.026755852842809378;0.06984392419175028;0.12040133779264214;0.06977676781178986;10;5;8
model4;0.09732724902216427;0.03478260869565216;0.08138238573021181;0.15384615384615385;0.06750434433899212;10;5;8
model5;0.07973990514521097;0.026755852842809378;0.07402452619843924;0.12374581939799331;0.054671835316134204;10;5;8
model6;0.1032388699485236;0.037458193979933094;0.09877369007803788;0.16387959866220736;0.06884106402887315;10;5;8
model7;0.10738856451826238;0.036120401337792624;0.07987736900780376;0.1605351170568562;0.06897473599786125;10;5;8
