emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
32.0,600.0,0.8,0.001,2.0,0.3773207664489746
128.0,600.0,0.8,0.001,3.0,0.3773207664489746
32.0,500.0,0.8,0.001,3.0,0.35846900939941406
128.0,400.0,0.8,0.001,3.0,0.38046273589134216
64.0,300.0,0.6,0.001,2.0,0.32733505964279175
32.0,200.0,0.8,0.001,2.0,0.40102827548980713
32.0,600.0,0.6,0.001,1.0,0.28963154554367065
32.0,500.0,0.6,0.001,3.0,0.3093401789665222
96.0,500.0,0.8,0.001,1.0,0.3718937337398529
64.0,500.0,0.6,0.001,2.0,0.3221936523914337
64.0,400.0,0.6,0.001,3.0,0.3013424873352051
32.0,500.0,0.6,0.001,2.0,0.32190802693367004
96.0,400.0,0.8,0.001,2.0,0.38446158170700073
32.0,400.0,0.8,0.001,2.0,0.3767494857311249
32.0,600.0,0.8,0.001,3.0,0.36332476139068604
128.0,200.0,0.8,0.001,3.0,0.39645814895629883
96.0,100.0,0.8,0.001,3.0,0.39160239696502686
128.0,100.0,0.6,0.001,3.0,0.3876035511493683
128.0,200.0,0.6,0.001,3.0,0.36132532358169556
96.0,100.0,0.8,0.001,1.0,0.3896029591560364
64.0,400.0,0.6,0.001,1.0,0.31819480657577515
32.0,200.0,0.8,0.001,1.0,0.38503286242485046
96.0,100.0,0.8,0.001,2.0,0.38446158170700073
96.0,500.0,0.6,0.001,2.0,0.3084833025932312
96.0,200.0,0.6,0.001,1.0,0.3684661388397217
96.0,300.0,0.8,0.001,1.0,0.38988861441612244
64.0,200.0,0.8,0.001,3.0,0.39074549078941345
128.0,500.0,0.6,0.001,3.0,0.300199955701828
128.0,500.0,0.6,0.001,1.0,0.32933446764945984
128.0,400.0,0.8,0.001,1.0,0.38703227043151855
128.0,200.0,0.8,0.001,2.0,0.39817196130752563
96.0,100.0,0.6,0.001,2.0,0.39274492859840393
96.0,100.0,0.6,0.001,1.0,0.3956012427806854
128.0,200.0,0.6,0.001,1.0,0.36675235629081726
32.0,400.0,0.8,0.001,1.0,0.3793202042579651
32.0,400.0,0.6,0.001,3.0,0.326763778924942
64.0,200.0,0.8,0.001,1.0,0.3918880224227905
96.0,500.0,0.6,0.001,3.0,0.31448158621788025
128.0,400.0,0.8,0.001,2.0,0.3864610195159912
128.0,500.0,0.8,0.001,3.0,0.3764638602733612
64.0,600.0,0.6,0.001,1.0,0.2959154546260834
64.0,600.0,0.8,0.001,3.0,0.37903454899787903
96.0,500.0,0.6,0.001,1.0,0.3004855811595917
32.0,400.0,0.6,0.001,2.0,0.3076263964176178
96.0,100.0,0.6,0.001,3.0,0.3930305540561676
64.0,100.0,0.8,0.001,1.0,0.3867466449737549
32.0,300.0,0.8,0.001,3.0,0.3901742398738861
32.0,300.0,0.8,0.001,1.0,0.38874608278274536
96.0,400.0,0.6,0.001,1.0,0.32933446764945984
128.0,300.0,0.8,0.001,2.0,0.38874608278274536
64.0,600.0,0.8,0.001,1.0,0.3690374195575714
32.0,600.0,0.6,0.001,3.0,0.3064838647842407
64.0,100.0,0.6,0.001,2.0,0.3910311460494995
32.0,300.0,0.8,0.001,2.0,0.3873178958892822
64.0,200.0,0.6,0.001,1.0,0.37989145517349243
64.0,200.0,0.8,0.001,2.0,0.39902883768081665
64.0,500.0,0.8,0.001,1.0,0.38331905007362366
128.0,300.0,0.6,0.001,1.0,0.34390175342559814
96.0,300.0,0.8,0.001,2.0,0.39160239696502686
