c_id;item_name;item_code
6488.0;APPPHI59F8B6B455D00;4573.0
6488.0;APPJAC59BD028F4A12A;3993.0
6660.0;MEFIGN5A7993436A247-36;7278.0
9677.0;HASQAR5A5369A2BCAEB;6625.0
9677.0;HASQAR5A618CBE0B442;6767.0
9677.0;HASQAR5A5369391B6F4;6654.0
9677.0;SOGALM5A8BD55915F08;7229.0
4080.0;HASQAR5A53698FA5EF3;6800.0
4080.0;HASONC59AC64DFADA78;3562.0
6093.0;BAGSAM59AC8372E3C8C;5295.0
6093.0;BAGSAE5A002F055F2B6;5564.0
6093.0;APPTHU5A0B50CD45242;5714.0
1355.0;WOFGUL5A8C7106B8F7A;7344.0
10033.0;HASQAR5A53693A9C1C8;6638.0
10033.0;HALDYN5A002995AEC9A;5122.0
10033.0;AME5A82D3149EC4A;7264.0
10033.0;SOGAMB5A2E67122360F;6392.0
10033.0;HALHOM59DF3D7E16D99;6371.0
2831.0;DET59F31AB0BCEDF;5196.0
2831.0;MOR59F333319808D;4258.0
2831.0;MOR5A816ECA30809;7100.0
378.0;COMADA59DB756418C7D;4137.0
3751.0;WOFDEA59F1ED66017E1;6276.0
8031.0;BAGBER59DDB81889340;4297.0
8031.0;BAGBER59DDB82035D64;4298.0
1499.0;APPORI59E0BB9677C32;6302.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A53698E5B971;6660.0
9217.0;MEFBIS5A79917C12017;7106.0
3350.0;MEFDEA59F75B0BA0EF0-L;5668.0
4972.0;APPORI59D49C8D26FDA;4999.0
5411.0;SOGALM5A8BD55C356EA;7198.0
5411.0;HAR5A816ECAE120A;6950.0
5411.0;HALDYN5A0029AC8AC95;6059.0
1499.0;APPORI59E0BB9677C32;6302.0
1374.0;WOFSIT5A993A4F73E13;7386.0
18.0;HALANG59F333EEDD4C6;4598.0
8673.0;HASQAR5A618CC120963;6816.0
8673.0;HASQAR5A5369922FF49;6687.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A53693D2F6FF;7099.0
8673.0;HASQAR5A53698D0BD6F;6658.0
8673.0;HASQAR5A618CCE63D2D;6722.0
8673.0;HASQAR5A53698E5B971;6660.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A5369144BA78;6780.0
1689.0;BAGSAE5A0035E429474;4367.0
8673.0;HASQAR5A74499CC8610;7270.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A53690C21B79;6698.0
8673.0;HASQAR5A5369353973B;6744.0
8673.0;HASQAR5A618CB95E324;6945.0
8673.0;HASQAR5A5369158AFE2;6768.0
8673.0;HASQAR5A5369144BA78;6780.0
8673.0;HASQAR5A618CBFB1863;7156.0
4342.0;MEFKUR59ACE564D0137;3735.0
8673.0;HASQAR5A53690C21B79;6698.0
8673.0;HASQAR5A744998A7D44;7249.0
8673.0;HASQAR5A53697A43A60;6730.0
224.0;SOGAMB5A09BA2372A3B;5955.0
224.0;SOGAMB5A698D0993A60;6808.0
224.0;SOGALM5A8BD561CA84E;7203.0
4106.0;MATNOK5A781E66CB661;7013.0
353.0;MOR5A816ECA30809;7100.0
6955.0;BAGSTY59F9C10CDFF3D;5419.0
3146.0;APPDAW5A8154EB1FF7E;7374.0
8771.0;HALSHO59F869434E6A4;5399.0
8771.0;HALSHO59F837F47252E;5359.0
3936.0;HASDZI59AC85335A467;3624.0
8673.0;HASQAR5A53697A43A60;6730.0
8673.0;HASQAR5A744999A7B52;6833.0
8673.0;HASQAR5A5369462510C;6840.0
8673.0;HASQAR5A5369A2BCAEB;6625.0
8673.0;HASQAR5A53691FC8D4B;6686.0
8673.0;HASQAR5A618CCE63D2D;6722.0
8673.0;HASQAR5A618DB1481E7;7402.0
4423.0;MEFKUR59ACE564D0137;3735.0
2661.0;MEFKUR59AD968DC5416;3838.0
8673.0;HASQAR5A7449994BBA7;6845.0
8673.0;HASQAR5A53693D2F6FF;7099.0
8673.0;HASQAR5A536987ECB68;6906.0
8673.0;HASQAR5A7449994BBA7;6845.0
8007.0;APPORI59E0BB9677C32;6302.0
8007.0;APPORI59E0BB9677C32;6302.0
4040.0;APPGAB59F8AEE1E5325;4490.0
8449.0;APPNAT5A018FEDA562F;4411.0
2013.0;MOR59F333319808D;4258.0
