t_id;t_date;c_id;recency;payment;item_code;category_code;method_code
436177.0;2017-04-01;1;100;2;1;1;1
436192.0;2017-04-01;2;100;5;2;1;1
436208.0;2017-04-01;3;100;2;3;2;1
436210.0;2017-04-01;3;100;2;4;1;1
436212.0;2017-04-01;3;100;2;5;3;1
436218.0;2017-04-01;4;100;1;6;4;2
436238.0;2017-04-01;5;100;50;7;5;1
436241.0;2017-04-01;6;100;5;8;6;1
436243.0;2017-04-01;7;100;7;9;3;1
436244.0;2017-04-01;6;100;11;10;6;1
436245.0;2017-04-01;6;100;8;11;6;1
436251.0;2017-04-01;8;100;5;12;6;1
436252.0;2017-04-01;8;100;5;13;6;1
436260.0;2017-04-01;9;100;5;14;6;1
436261.0;2017-04-01;9;100;1;15;3;1
436271.0;2017-04-01;10;100;4;16;1;1
436272.0;2017-04-01;10;100;6;17;1;1
436273.0;2017-04-01;10;100;2;5;3;1
436286.0;2017-04-01;6;100;4;18;2;1
436287.0;2017-04-01;6;100;4;5;3;1
436288.0;2017-04-01;6;100;1;19;7;1
436295.0;2017-04-01;11;100;50;7;5;1
436303.0;2017-04-01;12;100;28;20;8;1
436313.0;2017-04-01;12;100;1;21;3;1
436314.0;2017-04-01;12;100;1;22;3;1
436315.0;2017-04-01;12;100;2;5;3;1
436316.0;2017-04-01;12;100;3;23;3;1
436322.0;2017-04-01;13;100;1;24;3;1
436328.0;2017-04-01;6;100;9;25;8;1
436336.0;2017-04-01;14;100;6;26;1;1
436398.0;2017-04-01;16;100;3;28;9;1
436399.0;2017-04-01;16;100;3;29;7;1
436407.0;2017-04-01;17;100;11;30;6;1
436445.0;2017-04-01;19;100;31;32;10;1
436459.0;2017-04-01;20;100;6;33;1;1
436461.0;2017-04-01;20;100;3;17;1;1
436462.0;2017-04-01;20;100;2;34;2;1
436475.0;2017-04-01;21;100;6;35;4;1
436495.0;2017-04-01;23;100;5;37;6;1
436496.0;2017-04-01;23;100;5;38;6;1
436497.0;2017-04-01;23;100;5;39;6;1
436502.0;2017-04-01;24;100;6;40;5;1
436503.0;2017-04-01;24;100;5;41;7;1
436510.0;2017-04-01;25;100;2;34;2;1
436511.0;2017-04-01;25;100;4;42;6;1
436512.0;2017-04-01;25;100;5;43;6;1
436518.0;2017-04-01;26;100;15;44;6;1
436526.0;2017-04-01;27;100;3;17;1;1
436533.0;2017-04-01;28;100;16;35;4;1
436538.0;2017-04-01;28;100;16;35;4;1
436543.0;2017-04-01;29;100;1;45;2;1
436539.0;2017-04-01;28;100;16;35;4;1
436540.0;2017-04-01;12;100;5;46;6;1
436548.0;2017-04-01;28;100;16;35;4;1
436551.0;2017-04-01;30;100;7;47;3;1
436553.0;2017-04-01;31;100;2;5;3;1
436554.0;2017-04-01;31;100;1;15;3;1
436555.0;2017-04-01;31;100;2;48;3;1
436557.0;2017-04-01;31;100;4;49;1;1
436560.0;2017-04-01;32;100;5;50;1;1
436562.0;2017-04-01;32;100;2;51;5;1
436563.0;2017-04-01;33;100;4;52;9;1
436564.0;2017-04-01;33;100;3;31;9;1
