model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
1.0,lstm,128.0,400.0,0.8,0.001,1.0,0.2962285578250885
1.0,lstm,96.0,500.0,0.8,0.001,1.0,0.2878669202327728
1.0,lstm,64.0,600.0,0.6,0.001,1.0,0.262346476316452
1.0,lstm,32.0,400.0,0.8,0.001,2.0,0.3055483102798462
1.0,lstm,64.0,200.0,0.6,0.001,2.0,0.28908631205558777
1.0,lstm,32.0,400.0,0.6,0.001,2.0,0.27445343136787415
1.0,lstm,32.0,300.0,0.8,0.001,1.0,0.2982318699359894
1.0,lstm,128.0,500.0,0.8,0.001,2.0,0.30432888865470886
1.0,lstm,96.0,300.0,0.6,0.001,2.0,0.2819440960884094
1.0,lstm,96.0,200.0,0.8,0.001,2.0,0.31025171279907227
1.0,lstm,96.0,400.0,0.6,0.001,2.0,0.2618238925933838
1.0,lstm,128.0,300.0,0.8,0.001,1.0,0.3171326518058777
1.0,lstm,128.0,600.0,0.6,0.001,1.0,0.22689661383628845
1.0,lstm,128.0,400.0,0.6,0.001,1.0,0.27967947721481323
1.0,lstm,96.0,300.0,0.8,0.001,1.0,0.3149551451206207
1.0,lstm,64.0,100.0,0.6,0.001,2.0,0.31181952357292175
1.0,lstm,64.0,500.0,0.6,0.001,1.0,0.2600818872451782
1.0,lstm,128.0,200.0,0.6,0.001,1.0,0.27994078397750854
1.0,lstm,96.0,400.0,0.6,0.001,1.0,0.2657434046268463
1.0,lstm,32.0,100.0,0.8,0.001,1.0,0.30023518204689026
1.0,lstm,128.0,400.0,0.8,0.001,2.0,0.2914380133152008
1.0,lstm,128.0,300.0,0.8,0.001,2.0,0.3166971504688263
1.0,lstm,128.0,200.0,0.8,0.001,1.0,0.31661003828048706
1.0,lstm,96.0,300.0,0.6,0.001,1.0,0.29631564021110535
1.0,lstm,64.0,200.0,0.8,0.001,2.0,0.3107743263244629
1.0,lstm,32.0,500.0,0.6,0.001,2.0,0.25964638590812683
1.0,lstm,128.0,300.0,0.6,0.001,1.0,0.2848183810710907
1.0,lstm,64.0,300.0,0.8,0.001,2.0,0.29979968070983887
1.0,lstm,96.0,300.0,0.8,0.001,2.0,0.31634876132011414
1.0,lstm,96.0,200.0,0.6,0.001,1.0,0.28882500529289246
1.0,lstm,128.0,500.0,0.6,0.001,2.0,0.2550300359725952
1.0,lstm,128.0,300.0,0.6,0.001,2.0,0.2716662287712097
1.0,lstm,32.0,300.0,0.6,0.001,2.0,0.28176987171173096
1.0,lstm,32.0,100.0,0.6,0.001,1.0,0.28656041622161865
1.0,lstm,96.0,500.0,0.6,0.001,2.0,0.2571204602718353
1.0,lstm,128.0,200.0,0.8,0.001,2.0,0.3207908570766449
1.0,lstm,96.0,100.0,0.6,0.001,2.0,0.31277763843536377
1.0,lstm,64.0,400.0,0.6,0.001,2.0,0.26426270604133606
1.0,lstm,32.0,200.0,0.8,0.001,2.0,0.30702900886535645
1.0,lstm,32.0,600.0,0.6,0.001,1.0,0.26487240195274353
1.0,lstm,128.0,500.0,0.6,0.001,1.0,0.24945561587810516
1.0,lstm,64.0,600.0,0.8,0.001,2.0,0.2886508107185364
1.0,lstm,96.0,100.0,0.8,0.001,2.0,0.3187875747680664
1.0,lstm,64.0,400.0,0.8,0.001,2.0,0.3016287684440613
1.0,lstm,96.0,400.0,0.8,0.001,1.0,0.30607089400291443
1.0,lstm,64.0,500.0,0.6,0.001,2.0,0.26426270604133606
1.0,lstm,96.0,500.0,0.8,0.001,2.0,0.3017158806324005
1.0,lstm,64.0,200.0,0.8,0.001,1.0,0.3180907666683197
1.0,lstm,96.0,400.0,0.8,0.001,2.0,0.30702900886535645
1.0,lstm,64.0,100.0,0.8,0.001,1.0,0.31730684638023376
