model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
1.0,lstm,128.0,300.0,0.8,0.001,2.0,0.37246501445770264
1.0,lstm,32.0,100.0,0.6,0.001,2.0,0.34304484724998474
1.0,lstm,64.0,300.0,0.8,0.001,2.0,0.3764638602733612
1.0,lstm,96.0,200.0,0.8,0.001,2.0,0.3821765184402466
1.0,lstm,32.0,600.0,0.8,0.001,2.0,0.33447587490081787
1.0,lstm,96.0,200.0,0.8,0.001,1.0,0.38703227043151855
1.0,lstm,32.0,400.0,0.6,0.001,2.0,0.311053991317749
1.0,lstm,64.0,400.0,0.6,0.001,1.0,0.3101970851421356
1.0,lstm,32.0,100.0,0.8,0.001,2.0,0.3718937337398529
1.0,lstm,64.0,100.0,0.8,0.001,1.0,0.3893173336982727
1.0,lstm,96.0,300.0,0.8,0.001,1.0,0.38417595624923706
1.0,lstm,128.0,200.0,0.6,0.001,2.0,0.35218510031700134
1.0,lstm,128.0,500.0,0.6,0.001,2.0,0.25649815797805786
1.0,lstm,96.0,500.0,0.8,0.001,2.0,0.37046557664871216
1.0,lstm,64.0,600.0,0.8,0.001,2.0,0.3433304727077484
1.0,lstm,64.0,100.0,0.8,0.001,2.0,0.4004570245742798
1.0,lstm,96.0,500.0,0.6,0.001,2.0,0.31990858912467957
1.0,lstm,32.0,300.0,0.6,0.001,1.0,0.30905455350875854
1.0,lstm,64.0,200.0,0.8,0.001,2.0,0.3838903307914734
1.0,lstm,96.0,400.0,0.8,0.001,2.0,0.3644672930240631
1.0,lstm,32.0,300.0,0.8,0.001,2.0,0.36132532358169556
1.0,lstm,64.0,500.0,0.8,0.001,2.0,0.3453299105167389
1.0,lstm,64.0,600.0,0.8,0.001,1.0,0.3119108974933624
1.0,lstm,96.0,400.0,0.8,0.001,1.0,0.36332476139068604
1.0,lstm,128.0,600.0,0.8,0.001,2.0,0.35504141449928284
1.0,lstm,96.0,500.0,0.6,0.001,1.0,0.28163382411003113
1.0,lstm,128.0,400.0,0.8,0.001,2.0,0.35846900939941406
1.0,lstm,32.0,500.0,0.6,0.001,1.0,0.3156241178512573
1.0,lstm,128.0,500.0,0.8,0.001,2.0,0.3296201229095459
1.0,lstm,32.0,200.0,0.6,0.001,1.0,0.35675522685050964
1.0,lstm,96.0,300.0,0.6,0.001,1.0,0.3113396167755127
1.0,lstm,128.0,400.0,0.6,0.001,1.0,0.26478150486946106
1.0,lstm,128.0,500.0,0.8,0.001,1.0,0.32447871565818787
1.0,lstm,64.0,300.0,0.8,0.001,1.0,0.35589832067489624
1.0,lstm,32.0,200.0,0.8,0.001,2.0,0.3610396981239319
1.0,lstm,32.0,200.0,0.8,0.001,1.0,0.3773207664489746
1.0,lstm,96.0,600.0,0.8,0.001,1.0,0.35047128796577454
1.0,lstm,64.0,100.0,0.6,0.001,2.0,0.3793202042579651
1.0,lstm,64.0,400.0,0.8,0.001,1.0,0.3813196122646332
1.0,lstm,96.0,600.0,0.6,0.001,1.0,0.2624964416027069
1.0,lstm,96.0,100.0,0.8,0.001,2.0,0.3884604275226593
1.0,lstm,96.0,600.0,0.8,0.001,2.0,0.35589832067489624
1.0,lstm,128.0,100.0,0.6,0.001,1.0,0.38046273589134216
1.0,lstm,96.0,100.0,0.6,0.001,1.0,0.3810339868068695
1.0,lstm,64.0,600.0,0.6,0.001,2.0,0.3224792778491974
1.0,lstm,128.0,100.0,0.8,0.001,1.0,0.39074549078941345
1.0,lstm,32.0,500.0,0.8,0.001,2.0,0.3333333432674408
1.0,lstm,128.0,100.0,0.8,0.001,2.0,0.3818908929824829
1.0,lstm,64.0,500.0,0.8,0.001,1.0,0.3359040319919586
